File Name,File Size (bytes),Algorithm,Operation,Time (s)
pattern_100KB.bin,102400,RSA-2048,Encryption,0.00109100341796875
pattern_100KB.bin,102400,RSA-2048,Decryption,0.002393960952758789
pattern_100KB.bin,102400,RSA-2048,Encryption,8.511543273925781e-05
pattern_100KB.bin,102400,RSA-2048,Decryption,0.0009667873382568359
pattern_100KB.bin,102400,RSA-2048,Encryption,7.605552673339844e-05
pattern_100KB.bin,102400,RSA-2048,Decryption,0.0009610652923583984
pattern_100KB.bin,102400,RSA-2048,Encryption,8.177757263183594e-05
pattern_100KB.bin,102400,RSA-2048,Decryption,0.0010082721710205078
pattern_100KB.bin,102400,RSA-2048,Encryption,7.581710815429688e-05
pattern_100KB.bin,102400,RSA-2048,Decryption,0.0009579658508300781
pattern_100KB.bin,102400,RSA-2048,Encryption,7.319450378417969e-05
pattern_100KB.bin,102400,RSA-2048,Decryption,0.000988006591796875
pattern_100KB.bin,102400,RSA-2048,Encryption,7.390975952148438e-05
pattern_100KB.bin,102400,RSA-2048,Decryption,0.0009469985961914062
pattern_100KB.bin,102400,RSA-2048,Encryption,0.00016570091247558594
pattern_100KB.bin,102400,RSA-2048,Decryption,0.0009641647338867188
pattern_100KB.bin,102400,RSA-2048,Encryption,7.796287536621094e-05
pattern_100KB.bin,102400,RSA-2048,Decryption,0.0009958744049072266
pattern_100KB.bin,102400,RSA-2048,Encryption,8.106231689453125e-05
pattern_100KB.bin,102400,RSA-2048,Decryption,0.0009729862213134766
pattern_100KB.bin,102400,ECC-P256,Signing,0.006195068359375
pattern_100KB.bin,102400,ECC-P256,Verification,0.00015592575073242188
pattern_100KB.bin,102400,ECC-P256,Signing,7.200241088867188e-05
pattern_100KB.bin,102400,ECC-P256,Verification,0.0001430511474609375
pattern_100KB.bin,102400,ECC-P256,Signing,6.890296936035156e-05
pattern_100KB.bin,102400,ECC-P256,Verification,0.000141143798828125
pattern_100KB.bin,102400,ECC-P256,Signing,6.794929504394531e-05
pattern_100KB.bin,102400,ECC-P256,Verification,0.00015687942504882812
pattern_100KB.bin,102400,ECC-P256,Signing,7.224082946777344e-05
pattern_100KB.bin,102400,ECC-P256,Verification,0.0001480579376220703
pattern_100KB.bin,102400,ECC-P256,Signing,6.794929504394531e-05
pattern_100KB.bin,102400,ECC-P256,Verification,0.00013899803161621094
pattern_100KB.bin,102400,ECC-P256,Signing,6.794929504394531e-05
pattern_100KB.bin,102400,ECC-P256,Verification,0.00013899803161621094
pattern_100KB.bin,102400,ECC-P256,Signing,7.295608520507812e-05
pattern_100KB.bin,102400,ECC-P256,Verification,0.00014209747314453125
pattern_100KB.bin,102400,ECC-P256,Signing,6.866455078125e-05
pattern_100KB.bin,102400,ECC-P256,Verification,0.00014090538024902344
pattern_100KB.bin,102400,ECC-P256,Signing,6.699562072753906e-05
pattern_100KB.bin,102400,ECC-P256,Verification,0.00013780593872070312
pattern_100KB.bin,102400,Diffie-Hellman,Key Exchange,0.0030488967895507812
pattern_100KB.bin,102400,Diffie-Hellman,Key Exchange,0.0027625560760498047
pattern_100KB.bin,102400,Diffie-Hellman,Key Exchange,0.0025479793548583984
pattern_100KB.bin,102400,Diffie-Hellman,Key Exchange,0.002878904342651367
pattern_100KB.bin,102400,Diffie-Hellman,Key Exchange,0.0033299922943115234
pattern_100KB.bin,102400,Diffie-Hellman,Key Exchange,0.003381967544555664
pattern_100KB.bin,102400,Diffie-Hellman,Key Exchange,0.002552032470703125
pattern_100KB.bin,102400,Diffie-Hellman,Key Exchange,0.0026769638061523438
pattern_100KB.bin,102400,Diffie-Hellman,Key Exchange,0.0025510787963867188
pattern_100KB.bin,102400,Diffie-Hellman,Key Exchange,0.002547025680541992
pattern_10KB.bin,10240,RSA-2048,Encryption,0.00013494491577148438
pattern_10KB.bin,10240,RSA-2048,Decryption,0.0024008750915527344
pattern_10KB.bin,10240,RSA-2048,Encryption,8.916854858398438e-05
pattern_10KB.bin,10240,RSA-2048,Decryption,0.0009908676147460938
pattern_10KB.bin,10240,RSA-2048,Encryption,8.487701416015625e-05
pattern_10KB.bin,10240,RSA-2048,Decryption,0.000982046127319336
pattern_10KB.bin,10240,RSA-2048,Encryption,7.486343383789062e-05
pattern_10KB.bin,10240,RSA-2048,Decryption,0.0009491443634033203
pattern_10KB.bin,10240,RSA-2048,Encryption,7.295608520507812e-05
pattern_10KB.bin,10240,RSA-2048,Decryption,0.0009741783142089844
pattern_10KB.bin,10240,RSA-2048,Encryption,7.390975952148438e-05
pattern_10KB.bin,10240,RSA-2048,Decryption,0.0009946823120117188
pattern_10KB.bin,10240,RSA-2048,Encryption,7.605552673339844e-05
pattern_10KB.bin,10240,RSA-2048,Decryption,0.0010030269622802734
pattern_10KB.bin,10240,RSA-2048,Encryption,7.510185241699219e-05
pattern_10KB.bin,10240,RSA-2048,Decryption,0.001111745834350586
pattern_10KB.bin,10240,RSA-2048,Encryption,9.202957153320312e-05
pattern_10KB.bin,10240,RSA-2048,Decryption,0.00098419189453125
pattern_10KB.bin,10240,RSA-2048,Encryption,7.796287536621094e-05
pattern_10KB.bin,10240,RSA-2048,Decryption,0.0009489059448242188
pattern_10KB.bin,10240,ECC-P256,Signing,0.00011110305786132812
pattern_10KB.bin,10240,ECC-P256,Verification,0.00011205673217773438
pattern_10KB.bin,10240,ECC-P256,Signing,3.409385681152344e-05
pattern_10KB.bin,10240,ECC-P256,Verification,0.0001277923583984375
pattern_10KB.bin,10240,ECC-P256,Signing,3.2901763916015625e-05
pattern_10KB.bin,10240,ECC-P256,Verification,0.00010418891906738281
pattern_10KB.bin,10240,ECC-P256,Signing,3.170967102050781e-05
pattern_10KB.bin,10240,ECC-P256,Verification,0.00010204315185546875
pattern_10KB.bin,10240,ECC-P256,Signing,3.1948089599609375e-05
pattern_10KB.bin,10240,ECC-P256,Verification,0.00010395050048828125
pattern_10KB.bin,10240,ECC-P256,Signing,3.1948089599609375e-05
pattern_10KB.bin,10240,ECC-P256,Verification,0.00010204315185546875
