File,Algorithm,Hash,Entropy
byte0000.dat,MD5,d41d8cd98f00b204e9800998ecf8427e,4.0
byte0000.dat,SHA-1,da39a3ee5e6b4b0d3255bfef95601890afd80709,4.321928094887363
byte0000.dat,SHA-256,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4.9375
byte0000.dat,SHA3-256,a7ffc6f8bf1ed76651c14756a061d662f580ff4de43b49fa82d80a4b80f8434a,4.8125
byte0000.dat,Blake2b,786a02f742015903c6c6fd852552d272912f4740e15847618a86e217f71f5419d25e1031afee585313896444934eb04b903a685b1448b755d56f701afe9be2ce,5.8125
byte0001.dat,MD5,c3e97dd6e97fb5125688c97f36720cbe,3.75
byte0001.dat,SHA-1,3cdf2936da2fc556bfa533ab1eb59ce710ac80e5,4.321928094887363
byte0001.dat,SHA-256,09fc96082d34c2dfc1295d92073b5ea1dc8ef8da95f14dfded011ffb96d3e54b,4.9375
byte0001.dat,SHA3-256,5ecdbae446010644dd235353f132c03fa21a1e6020a86e1672cbf1a693db5428,4.875
byte0001.dat,Blake2b,388a507aa909e01f549b7fd8e6094b0438e8a1ecc4db0d95812f716ed4b3507a8f2381451727ce5bf4f7550b5b75fb0efc5b74c500bf21c89a21e99d9c26594c,5.738204882778696
byte0002.dat,MD5,038701ca277a9d4de87bff428dd30a12,4.0
byte0002.dat,SHA-1,19c1e2048fa7393cfbf2d310ad8209ec11d996e5,4.321928094887363
byte0002.dat,SHA-256,33a633841666a5c291a82bfae65deac5c537d05f9fe926cbb5b7281bf90ad150,4.875
byte0002.dat,SHA3-256,c18943887ed4be1f7249c2f7618ff56e8fcf9ddfe32b1c54c6df6dd6554b8595,4.875
byte0002.dat,Blake2b,f5077dc7474847082dafb2e3395d3b68777736c57715ec020a1c29e9e7d53f41289967511082839b29782fa3332cd0f12f1c54afbccb0a87d1f3b7523f8fe5f3,5.675704882778696
byte0003.dat,MD5,bc60c6192e361d99b59d47250668a852,4.0
byte0003.dat,SHA-1,ca775d8c80faa6f87fa62beca6ca6089d63b56e5,3.9841837197791894
byte0003.dat,SHA-256,8e2cc699f7e677265069f172d4cba15c146e954d7e4f2a8c176576035275b7a0,5.0
byte0003.dat,SHA3-256,3e09a52f68aedf9b0a477912cdc872982ef60e9d2810141144bcd16150da5d4e,5.0
byte0003.dat,Blake2b,95ebd5cd68a14bbac2fd3798268a679c25a53baafaf49f54695457249229c8cf72afa42f8543d13d058618fab0da2521085885a3d462ffb8043a5bad3c543e17,5.831954882778696
byte0004.dat,MD5,542c3a0ab6b51bc6a88fa7bb567bca3e,4.0
byte0004.dat,SHA-1,71ac973d0e4b50ae9e5043ff4d615381120a25a0,4.221928094887363
byte0004.dat,SHA-256,8096d72b968a2dbb7ceee163c1981f7f1ec11ee10051b2dc2a8d7601d4e56971,4.75
byte0004.dat,SHA3-256,65c632e8970a177e33791885406ff4c1a004b05e3831437cf18fbfd1c59c906a,5.0
byte0004.dat,Blake2b,e0937a283c9183e5ce17dffa6af8fc90380d98ea7c12a7cdd55b6452be510199ff6e3e6e61fbbf7340b7056dde56a67640ed5eff31ffe4b41a400a527c646252,5.683364648336087
byte0005.dat,MD5,e035f9e748a2a09a4fbdcf18c4f58bf1,4.0
byte0005.dat,SHA-1,a6b5b9f854cfb76701c3bddbf374b3094ea49cba,4.321928094887363
byte0005.dat,SHA-256,2cc06402328f034d1909fa7b95f34cdb5585ce7f9096bc4082c97904921f6304,4.9375
byte0005.dat,SHA3-256,e4952415e45724882761099cc2d3e56c4d26837333cb3cadd07dcea6710e8285,4.875
byte0005.dat,Blake2b,4886f80fcfe767d292a1ed834fafbce4e17834095160764eca560654f4dd11744cad8e473f83afeeaf8339443029d89041d5366c2d0412212ac7efe81c308c5d,5.820159765557392
byte0006.dat,MD5,3b4cc9226a236742d72578c5915b6c3c,4.0
byte0006.dat,SHA-1,d87a0ee74e4b9ad72e6847c87bdeeb3d07844380,4.321928094887363
byte0006.dat,SHA-256,99a8d6823b803a8d41ed7c26322b4ac8fdc86ce4457ffaaf8600e99595f1577a,4.875
byte0006.dat,SHA3-256,4d11a1913fee47cb7b28765f4352b8d0ef250f25ce07b7b92acc01cbd96ca824,4.875
byte0006.dat,Blake2b,2deb7287c7dc8b93ac08d5ba4c7bd265cc3f21e769c7e7a120921956a20694908f9a481e7b565b157b7e0cfba694ca0129ef832b093c676677d1b24e57389f12,5.800704882778696
byte0007.dat,MD5,35950208a022baac90056636827158ce,4.0
byte0007.dat,SHA-1,1976b8dd509fe66bf09c9a8d33534d4ef4f63bfd,4.321928094887363
byte0007.dat,SHA-256,5d73704556bd458af1b90383d98591c1d01894d99b394fb7647d3d0cbd45f9a0,4.726409765557392
byte0007.dat,SHA3-256,01d6b4c9653b72b9fb9f8c2b79e1805c237dd4e87386be4b8cbadcef537e44b5,4.9375
byte0007.dat,Blake2b,7ab3eeb3e88a479d73eaccbe883c836e589894f421d90f4760b10460ffc4130b4ebfe8822c2a8dcd917ae17a9d580de04928154b207e9eeac25799d367000a80,5.706954882778696
byte0008.dat,MD5,84cedff2ed1b78b395cc8651094f4ce3,4.0
byte0008.dat,SHA-1,5a78f439b6db845bb8a558e4ceb106cd7b7ff783,4.321928094887363
byte0008.dat,SHA-256,3b9606c772ea20bf2889732b034f9fd476ceddefe8ec4e3704c5993e38dace1b,4.9375
byte0008.dat,SHA3-256,1e1533a1890c427d3addbda61511bae61f5a6cedeb944625746a3758ddd15a9b,4.8125
byte0008.dat,Blake2b,cadb9bc25d8d9dae435391f107bf539e97bfa7cdcbcfdd24188941e35f27d5c5121a768fab8c84f6e5cb166c7528eda2beac676faea9aaed94f65014f466e21e,5.8125
byte0009.dat,MD5,7badf748f4cb700272a72edfea22e9bf,4.0
byte0009.dat,SHA-1,f871bce62436c1e280357416695ee2ef9b83695c,4.1219280948873624
byte0009.dat,SHA-256,b858d7c61b67e1688c267ca83b57dd0947c4e5acc4eb3d130fbd92222b66a9ab,4.9375
byte0009.dat,SHA3-256,ca2028b909b9d1c3cff0072e8f316b3b7f9017ab0abdb2a9d86fef9fbbd06f9d,4.875
byte0009.dat,Blake2b,34d19da688ffb718b9442d54b1cff47c73ba2428861413ef258eb88d2cba2ffb9d721686959ef8089f9f462e8fac70cd8daba05285a617e3353011d143daee02,5.78125
byte0010.dat,MD5,a1bb6e142739dbdb0925747d95e0a1ad,3.75
byte0010.dat,SHA-1,62b243d1b780e1d31cf1ba2de3f01c72aeea0e47,4.221928094887363
byte0010.dat,SHA-256,87574390294ef6d212b6d8c44ebd5c88e932036dadd0b827c6cb25cd120bfdf6,4.8125
byte0010.dat,SHA3-256,e9c84444c7d93e7e0ff104bf15b4ad0fad5f183b0f2ac0ff24b63e35c9a95fe8,4.601409765557392
byte0010.dat,Blake2b,951c00a943962173a3dc9c99327efb8a5a0c0feff261b46f1776306bc17ff7d9a9842dfcaeac1e1b7895fb55f5915c64724e1ddbbef323cf22f69086cc75b08e,5.90625
byte0011.dat,MD5,0cd9b72dfdee8efd2e1515f4c5a62284,3.75
byte0011.dat,SHA-1,1698994a273404848e56e7fda4457b5900de1342,4.321928094887363
byte0011.dat,SHA-256,afe90242f095e967523c12333b0093d4e532a0db0f27dcc25d44d23ffb62094b,4.9375
byte0011.dat,SHA3-256,fe6a4222059f6d2a6201f71f03f6e53b1aeb99e3e884740823070263fa63cea8,4.9375
byte0011.dat,Blake2b,5ad8da671bcdad81b80d56941ec8de4e80ac96c9df21506b5cef27d760a388341e7d43696c85b259a871770a7f9163a7b0d07ecdf9de9c8cb879dbb166d9a101,5.875
byte0012.dat,MD5,ef07c13e75d50578d09052aa21a7cffb,4.0
byte0012.dat,SHA-1,056f4cdc02791da7ed1eb2303314f7667518deef,4.321928094887363
byte0012.dat,SHA-256,55731252db2418c49f15d7f0f146c6506589f016a82c72cf8a6276ac6bd123c7,4.9375
