File,Algorithm,Standard Deviation
byte0000.dat,MD5,0.24206145913796356
byte0000.dat,SHA-1,0.26836818808308854
byte0000.dat,SHA-256,0.3423265984407288
byte0000.dat,SHA3-256,0.3644344934278313
byte0000.dat,Blake2b,0.4841229182759271
byte0001.dat,MD5,0.2724311839712921
byte0001.dat,SHA-1,0.26836818808308854
byte0001.dat,SHA-256,0.3423265984407288
byte0001.dat,SHA3-256,0.3535533905932738
byte0001.dat,Blake2b,0.5077524002897476
byte0002.dat,MD5,0.24206145913796356
byte0002.dat,SHA-1,0.26836818808308854
byte0002.dat,SHA-256,0.3535533905932738
byte0002.dat,SHA3-256,0.3535533905932738
byte0002.dat,Blake2b,0.5229125165837972
byte0003.dat,MD5,0.24206145913796356
byte0003.dat,SHA-1,0.32135880939379896
byte0003.dat,SHA-256,0.33071891388307384
byte0003.dat,SHA3-256,0.33071891388307384
byte0003.dat,Blake2b,0.4841229182759271
byte0004.dat,MD5,0.24206145913796356
byte0004.dat,SHA-1,0.28254908312539256
byte0004.dat,SHA-256,0.375
byte0004.dat,SHA3-256,0.33071891388307384
byte0004.dat,Blake2b,0.5303300858899106
byte0005.dat,MD5,0.24206145913796356
byte0005.dat,SHA-1,0.26836818808308854
byte0005.dat,SHA-256,0.3423265984407288
byte0005.dat,SHA3-256,0.3535533905932738
byte0005.dat,Blake2b,0.4921254921257382
byte0006.dat,MD5,0.24206145913796356
byte0006.dat,SHA-1,0.26836818808308854
byte0006.dat,SHA-256,0.3535533905932738
byte0006.dat,SHA3-256,0.3535533905932738
byte0006.dat,Blake2b,0.4921254921257382
byte0007.dat,MD5,0.24206145913796356
byte0007.dat,SHA-1,0.26836818808308854
byte0007.dat,SHA-256,0.385275875185561
byte0007.dat,SHA3-256,0.3423265984407288
byte0007.dat,Blake2b,0.5153882032022076
byte0008.dat,MD5,0.24206145913796356
byte0008.dat,SHA-1,0.26836818808308854
byte0008.dat,SHA-256,0.3423265984407288
byte0008.dat,SHA3-256,0.3644344934278313
byte0008.dat,Blake2b,0.4841229182759271
byte0009.dat,MD5,0.24206145913796356
byte0009.dat,SHA-1,0.2960514893983815
byte0009.dat,SHA-256,0.3423265984407288
byte0009.dat,SHA3-256,0.3535533905932738
byte0009.dat,Blake2b,0.4921254921257382
byte0010.dat,MD5,0.2724311839712921
byte0010.dat,SHA-1,0.28254908312539256
byte0010.dat,SHA-256,0.3644344934278313
byte0010.dat,SHA3-256,0.4050462936504913
byte0010.dat,Blake2b,0.4592793267718459
byte0011.dat,MD5,0.2724311839712921
byte0011.dat,SHA-1,0.26836818808308854
byte0011.dat,SHA-256,0.3423265984407288
byte0011.dat,SHA3-256,0.3423265984407288
byte0011.dat,Blake2b,0.46770717334674267
byte0012.dat,MD5,0.24206145913796356
byte0012.dat,SHA-1,0.26836818808308854
byte0012.dat,SHA-256,0.3423265984407288
byte0012.dat,SHA3-256,0.385275875185561
byte0012.dat,Blake2b,0.5153882032022076
byte0013.dat,MD5,0.2576941016011038
byte0013.dat,SHA-1,0.26836818808308854
byte0013.dat,SHA-256,0.3535533905932738
byte0013.dat,SHA3-256,0.3423265984407288
byte0013.dat,Blake2b,0.4841229182759271
byte0014.dat,MD5,0.2576941016011038
byte0014.dat,SHA-1,0.26836818808308854
byte0014.dat,SHA-256,0.3644344934278313
byte0014.dat,SHA3-256,0.33071891388307384
byte0014.dat,Blake2b,0.4841229182759271
byte0015.dat,MD5,0.24206145913796356
byte0015.dat,SHA-1,0.28254908312539256
byte0015.dat,SHA-256,0.3423265984407288
byte0015.dat,SHA3-256,0.375
byte0015.dat,Blake2b,0.5
byte0016.dat,MD5,0.2576941016011038
byte0016.dat,SHA-1,0.28254908312539256
byte0016.dat,SHA-256,0.3644344934278313
byte0016.dat,SHA3-256,0.375
byte0016.dat,Blake2b,0.46770717334674267
byte0017.dat,MD5,0.24206145913796356
byte0017.dat,SHA-1,0.26836818808308854
byte0017.dat,SHA-256,0.3423265984407288
byte0017.dat,SHA3-256,0.3644344934278313
byte0017.dat,Blake2b,0.5
byte0018.dat,MD5,0.2724311839712921
byte0018.dat,SHA-1,0.28254908312539256
byte0018.dat,SHA-256,0.33071891388307384
byte0018.dat,SHA3-256,0.3423265984407288
byte0018.dat,Blake2b,0.4759858191164943
byte0019.dat,MD5,0.2576941016011038
byte0019.dat,SHA-1,0.28254908312539256
byte0019.dat,SHA-256,0.3423265984407288
byte0019.dat,SHA3-256,0.3535533905932738
byte0019.dat,Blake2b,0.4759858191164943
byte0020.dat,MD5,0.2576941016011038
byte0020.dat,SHA-1,0.28254908312539256
byte0020.dat,SHA-256,0.3535533905932738
byte0020.dat,SHA3-256,0.33071891388307384
byte0020.dat,Blake2b,0.5
byte0021.dat,MD5,0.24206145913796356
byte0021.dat,SHA-1,0.26836818808308854
byte0021.dat,SHA-256,0.3423265984407288
byte0021.dat,SHA3-256,0.375
byte0021.dat,Blake2b,0.4841229182759271
byte0022.dat,MD5,0.2576941016011038
byte0022.dat,SHA-1,0.26836818808308854
byte0022.dat,SHA-256,0.3423265984407288
byte0022.dat,SHA3-256,0.375
byte0022.dat,Blake2b,0.4921254921257382
byte0023.dat,MD5,0.24206145913796356
byte0023.dat,SHA-1,0.26836818808308854
byte0023.dat,SHA-256,0.3535533905932738
byte0023.dat,SHA3-256,0.375
byte0023.dat,Blake2b,0.5376453291901642
byte0024.dat,MD5,0.2576941016011038
byte0024.dat,SHA-1,0.28254908312539256
byte0024.dat,SHA-256,0.3535533905932738
byte0024.dat,SHA3-256,0.3535533905932738
byte0024.dat,Blake2b,0.5229125165837972
byte0025.dat,MD5,0.24206145913796356
byte0025.dat,SHA-1,0.28254908312539256
byte0025.dat,SHA-256,0.3535533905932738
byte0025.dat,SHA3-256,0.3423265984407288
byte0025.dat,Blake2b,0.5229125165837972
byte0026.dat,MD5,0.24206145913796356
byte0026.dat,SHA-1,0.28254908312539256
byte0026.dat,SHA-256,0.3535533905932738
byte0026.dat,SHA3-256,0.414578098794425
byte0026.dat,Blake2b,0.4759858191164943
byte0027.dat,MD5,0.24206145913796356
byte0027.dat,SHA-1,0.28254908312539256
byte0027.dat,SHA-256,0.3535533905932738
byte0027.dat,SHA3-256,0.375
byte0027.dat,Blake2b,0.4841229182759271
byte0028.dat,MD5,0.24206145913796356
byte0028.dat,SHA-1,0.32135880939379896
byte0028.dat,SHA-256,0.3535533905932738
byte0028.dat,SHA3-256,0.375
byte0028.dat,Blake2b,0.4841229182759271
byte0029.dat,MD5,0.24206145913796356
byte0029.dat,SHA-1,0.26836818808308854
byte0029.dat,SHA-256,0.3423265984407288
byte0029.dat,SHA3-256,0.3644344934278313
byte0029.dat,Blake2b,0.5077524002897476
byte0030.dat,MD5,0.24206145913796356
byte0030.dat,SHA-1,0.26836818808308854
byte0030.dat,SHA-256,0.3535533905932738
byte0030.dat,SHA3-256,0.33071891388307384
byte0030.dat,Blake2b,0.4921254921257382
byte0031.dat,MD5,0.24206145913796356
byte0031.dat,SHA-1,0.26836818808308854
byte0031.dat,SHA-256,0.3535533905932738
byte0031.dat,SHA3-256,0.3423265984407288
byte0031.dat,Blake2b,0.46770717334674267
byte0032.dat,MD5,0.2576941016011038
byte0032.dat,SHA-1,0.28254908312539256
byte0032.dat,SHA-256,0.33071891388307384
byte0032.dat,SHA3-256,0.3644344934278313
byte0032.dat,Blake2b,0.5229125165837972
byte0033.dat,MD5,0.24206145913796356
byte0033.dat,SHA-1,0.26836818808308854
byte0033.dat,SHA-256,0.3535533905932738
byte0033.dat,SHA3-256,0.375
byte0033.dat,Blake2b,0.4921254921257382
byte0034.dat,MD5,0.24206145913796356
byte0034.dat,SHA-1,0.26836818808308854
byte0034.dat,SHA-256,0.3423265984407288
byte0034.dat,SHA3-256,0.3644344934278313
byte0034.dat,Blake2b,0.5
byte0035.dat,MD5,0.24206145913796356
byte0035.dat,SHA-1,0.3089643739575811
byte0035.dat,SHA-256,0.3535533905932738
byte0035.dat,SHA3-256,0.375
byte0035.dat,Blake2b,0.5077524002897476
byte0036.dat,MD5,0.24206145913796356
byte0036.dat,SHA-1,0.2960514893983815
byte0036.dat,SHA-256,0.3423265984407288
byte0036.dat,SHA3-256,0.3423265984407288
byte0036.dat,Blake2b,0.5
byte0037.dat,MD5,0.24206145913796356
byte0037.dat,SHA-1,0.26836818808308854
byte0037.dat,SHA-256,0.3644344934278313
byte0037.dat,SHA3-256,0.3423265984407288
byte0037.dat,Blake2b,0.5153882032022076
byte0038.dat,MD5,0.2576941016011038
byte0038.dat,SHA-1,0.28254908312539256
byte0038.dat,SHA-256,0.3423265984407288
byte0038.dat,SHA3-256,0.39528470752104744
byte0038.dat,Blake2b,0.5077524002897476
byte0039.dat,MD5,0.24206145913796356
byte0039.dat,SHA-1,0.26836818808308854
byte0039.dat,SHA-256,0.33071891388307384
byte0039.dat,SHA3-256,0.3535533905932738
byte0039.dat,Blake2b,0.5
byte0040.dat,MD5,0.24206145913796356
byte0040.dat,SHA-1,0.28254908312539256
byte0040.dat,SHA-256,0.3535533905932738
byte0040.dat,SHA3-256,0.33071891388307384
byte0040.dat,Blake2b,0.4841229182759271
byte0041.dat,MD5,0.24206145913796356
byte0041.dat,SHA-1,0.28254908312539256
byte0041.dat,SHA-256,0.3423265984407288
byte0041.dat,SHA3-256,0.3535533905932738
byte0041.dat,Blake2b,0.5153882032022076
byte0042.dat,MD5,0.24206145913796356
byte0042.dat,SHA-1,0.26836818808308854
byte0042.dat,SHA-256,0.3535533905932738
byte0042.dat,SHA3-256,0.3535533905932738
byte0042.dat,Blake2b,0.5448623679425842
byte0043.dat,MD5,0.28641098093474
byte0043.dat,SHA-1,0.26836818808308854
byte0043.dat,SHA-256,0.3644344934278313
byte0043.dat,SHA3-256,0.3535533905932738
byte0043.dat,Blake2b,0.5376453291901642
byte0044.dat,MD5,0.2576941016011038
byte0044.dat,SHA-1,0.26836818808308854
byte0044.dat,SHA-256,0.3535533905932738
byte0044.dat,SHA3-256,0.3535533905932738
byte0044.dat,Blake2b,0.4841229182759271
byte0045.dat,MD5,0.24206145913796356
byte0045.dat,SHA-1,0.26836818808308854
byte0045.dat,SHA-256,0.3535533905932738
byte0045.dat,SHA3-256,0.3535533905932738
byte0045.dat,Blake2b,0.5
byte0046.dat,MD5,0.24206145913796356
byte0046.dat,SHA-1,0.26836818808308854
byte0046.dat,SHA-256,0.3535533905932738
byte0046.dat,SHA3-256,0.3535533905932738
byte0046.dat,Blake2b,0.46770717334674267
byte0047.dat,MD5,0.2576941016011038
byte0047.dat,SHA-1,0.26836818808308854
byte0047.dat,SHA-256,0.3423265984407288
byte0047.dat,SHA3-256,0.3423265984407288
byte0047.dat,Blake2b,0.4921254921257382
byte0048.dat,MD5,0.24206145913796356
byte0048.dat,SHA-1,0.28254908312539256
byte0048.dat,SHA-256,0.3535533905932738
byte0048.dat,SHA3-256,0.3535533905932738
byte0048.dat,Blake2b,0.4921254921257382
byte0049.dat,MD5,0.24206145913796356
byte0049.dat,SHA-1,0.26836818808308854
byte0049.dat,SHA-256,0.3423265984407288
byte0049.dat,SHA3-256,0.3423265984407288
byte0049.dat,Blake2b,0.4921254921257382
byte0050.dat,MD5,0.24206145913796356
byte0050.dat,SHA-1,0.2960514893983815
byte0050.dat,SHA-256,0.3644344934278313
byte0050.dat,SHA3-256,0.3423265984407288
byte0050.dat,Blake2b,0.5229125165837972
byte0051.dat,MD5,0.24206145913796356
byte0051.dat,SHA-1,0.28254908312539256
byte0051.dat,SHA-256,0.33071891388307384
byte0051.dat,SHA3-256,0.3423265984407288
byte0051.dat,Blake2b,0.5153882032022076
byte0052.dat,MD5,0.24206145913796356
