File Name,File Size (bytes),Algorithm,Average CPU Usage (%),Peak Memory Usage (MB),Average Memory Usage (MB),Hashing Duration (s)
pattern_100KB.bin,102400,MD5,24.65,115.75,115.75,0.0006737709045410156
pattern_100KB.bin,102400,SHA-1,49.3,115.75,115.75,9.584426879882812e-05
pattern_100KB.bin,102400,SHA-256,49.1,115.75,115.75,7.414817810058594e-05
pattern_100KB.bin,102400,SHA3-256,49.9,115.765625,115.765625,0.00017786026000976562
pattern_100KB.bin,102400,BLAKE2b,49.85,115.765625,115.765625,0.00012993812561035156
pattern_100MB.bin,104857600,MD5,99.28450000000001,115.859375,115.817685546875,0.21121811866760254
pattern_100MB.bin,104857600,SHA-1,99.9355625,115.875,115.865,0.055397748947143555
pattern_100MB.bin,104857600,SHA-256,99.09631250000001,115.890625,115.8784765625,0.059857845306396484
pattern_100MB.bin,104857600,SHA3-256,99.885125,115.921875,115.90875,0.16667485237121582
pattern_100MB.bin,104857600,BLAKE2b,99.9313125,115.921875,115.921875,0.11675858497619629
pattern_10KB.bin,10240,MD5,0.0,115.921875,115.921875,0.00028324127197265625
pattern_10KB.bin,10240,SHA-1,0.0,115.921875,115.921875,2.8133392333984375e-05
pattern_10KB.bin,10240,SHA-256,0.0,115.921875,115.921875,2.288818359375e-05
pattern_10KB.bin,10240,SHA3-256,0.0,115.921875,115.921875,3.3855438232421875e-05
pattern_10KB.bin,10240,BLAKE2b,0.0,115.921875,115.921875,2.7894973754882812e-05
pattern_10MB.bin,10485760,MD5,98.25625,115.921875,115.921875,0.020994186401367188
pattern_10MB.bin,10485760,SHA-1,99.37125,115.921875,115.921875,0.005373239517211914
pattern_10MB.bin,10485760,SHA-256,99.376875,115.921875,115.921875,0.005488157272338867
pattern_10MB.bin,10485760,SHA3-256,99.360625,115.921875,115.921875,0.016560792922973633
pattern_10MB.bin,10485760,BLAKE2b,99.37,115.921875,115.921875,0.011503219604492188
pattern_1KB.bin,1024,MD5,0.0,115.921875,115.921875,0.00021600723266601562
pattern_1KB.bin,1024,SHA-1,0.0,115.921875,115.921875,1.7881393432617188e-05
pattern_1KB.bin,1024,SHA-256,0.0,115.921875,115.921875,1.71661376953125e-05
pattern_1KB.bin,1024,SHA3-256,0.0,115.921875,115.921875,1.8358230590820312e-05
pattern_1KB.bin,1024,BLAKE2b,0.0,115.921875,115.921875,1.6689300537109375e-05
pattern_1MB.bin,1048576,MD5,84.56875,115.921875,115.921875,0.002640962600708008
pattern_1MB.bin,1048576,SHA-1,93.71875,115.921875,115.921875,0.0005311965942382812
pattern_1MB.bin,1048576,SHA-256,93.74375,115.921875,115.921875,0.0005619525909423828
pattern_1MB.bin,1048576,SHA3-256,93.74375,115.921875,115.921875,0.0016744136810302734
pattern_1MB.bin,1048576,BLAKE2b,93.725,115.921875,115.921875,0.0011568069458007812
pattern_200MB.bin,209715200,MD5,98.88871875000001,116.078125,115.962900390625,0.4158446788787842
pattern_200MB.bin,209715200,SHA-1,99.48981250000001,116.265625,116.0989599609375,0.11512231826782227
pattern_200MB.bin,209715200,SHA-256,99.90921875,116.28125,116.26716796875,0.11072111129760742
pattern_200MB.bin,209715200,SHA3-256,99.62071875,116.8125,116.718232421875,0.3473529815673828
pattern_200MB.bin,209715200,BLAKE2b,99.949,116.8125,116.8125,0.23415684700012207
pattern_20KB.bin,20480,MD5,0.0,116.8125,116.8125,0.000946044921875
pattern_20KB.bin,20480,SHA-1,0.0,116.8125,116.8125,4.57763671875e-05
pattern_20KB.bin,20480,SHA-256,0.0,116.8125,116.8125,3.0279159545898438e-05
pattern_20KB.bin,20480,SHA3-256,0.0,116.828125,116.828125,5.793571472167969e-05
