File Name,File Size (bytes),Algorithm,Throughput (MB/s)
pattern_100KB.bin,102400,MD5,134.825543120474
pattern_100KB.bin,102400,SHA-1,1462.857142857143
pattern_100KB.bin,102400,SHA-256,1551.5151515151515
pattern_100KB.bin,102400,SHA3-256,551.278600269179
pattern_100KB.bin,102400,BLAKE2b,780.1904761904761
pattern_100MB.bin,104857600,MD5,434.6046203184176
pattern_100MB.bin,104857600,SHA-1,1835.461129466337
pattern_100MB.bin,104857600,SHA-256,1852.673239337079
pattern_100MB.bin,104857600,SHA3-256,603.9488538186845
pattern_100MB.bin,104857600,BLAKE2b,857.8905276851111
pattern_10KB.bin,10240,MD5,10.824524312896406
pattern_10KB.bin,10240,SHA-1,208.9795918367347
pattern_10KB.bin,10240,SHA-256,465.45454545454544
pattern_10KB.bin,10240,SHA3-256,335.73770491803276
pattern_10KB.bin,10240,BLAKE2b,372.3636363636364
pattern_10MB.bin,10485760,MD5,439.5024781784079
pattern_10MB.bin,10485760,SHA-1,1914.8575602629658
pattern_10MB.bin,10485760,SHA-256,1980.12652251912
pattern_10MB.bin,10485760,SHA3-256,620.5050669428213
pattern_10MB.bin,10485760,BLAKE2b,886.2953258388978
pattern_1KB.bin,1024,MD5,4.670467502850627
pattern_1KB.bin,1024,SHA-1,32.507936507936506
pattern_1KB.bin,1024,SHA-256,24.236686390532544
pattern_1KB.bin,1024,SHA3-256,14.576512455516013
pattern_1KB.bin,1024,BLAKE2b,24.38095238095238
pattern_1MB.bin,1048576,MD5,269.03810134701735
pattern_1MB.bin,1048576,SHA-1,623.1323726043679
pattern_1MB.bin,1048576,SHA-256,980.4357176250585
pattern_1MB.bin,1048576,SHA3-256,378.3765448804691
pattern_1MB.bin,1048576,BLAKE2b,458.8954048140044
pattern_200MB.bin,209715200,MD5,451.8979090731808
pattern_200MB.bin,209715200,SHA-1,1866.3124756660548
pattern_200MB.bin,209715200,SHA-256,1879.113735487094
pattern_200MB.bin,209715200,SHA3-256,568.4155176759806
pattern_200MB.bin,209715200,BLAKE2b,846.7969813088263
pattern_20KB.bin,20480,MD5,40.43435340572557
pattern_20KB.bin,20480,SHA-1,375.7798165137615
pattern_20KB.bin,20480,SHA-256,515.2201257861635
pattern_20KB.bin,20480,SHA3-256,445.2173913043478
pattern_20KB.bin,20480,BLAKE2b,512.0
pattern_20MB.bin,20971520,MD5,462.3223566369974
pattern_20MB.bin,20971520,SHA-1,1911.3235662694524
pattern_20MB.bin,20971520,SHA-256,1946.8548087634608
pattern_20MB.bin,20971520,SHA3-256,622.0649457549443
pattern_20MB.bin,20971520,BLAKE2b,881.9808434355648
pattern_2KB.bin,2048,MD5,2.0956766436428755
pattern_2KB.bin,2048,SHA-1,88.08602150537635
pattern_2KB.bin,2048,SHA-256,151.7037037037037
pattern_2KB.bin,2048,SHA3-256,130.03174603174602
pattern_2KB.bin,2048,BLAKE2b,138.84745762711864
pattern_2MB.bin,2097152,MD5,388.2716037954177
pattern_2MB.bin,2097152,SHA-1,1968.2327545753167
pattern_2MB.bin,2097152,SHA-256,1986.4096613781671
pattern_2MB.bin,2097152,SHA3-256,613.5162729466832
pattern_2MB.bin,2097152,BLAKE2b,889.2831548817979
pattern_50KB.bin,51200,MD5,196.92307692307693
pattern_50KB.bin,51200,SHA-1,1226.3473053892214
pattern_50KB.bin,51200,SHA-256,1402.7397260273972
pattern_50KB.bin,51200,SHA3-256,553.5135135135135
pattern_50KB.bin,51200,BLAKE2b,750.1831501831501
pattern_50MB.bin,52428800,MD5,451.5247814666494
pattern_50MB.bin,52428800,SHA-1,1869.652663861351
pattern_50MB.bin,52428800,SHA-256,1899.8523350092858
pattern_50MB.bin,52428800,SHA3-256,613.6329588014981
pattern_50MB.bin,52428800,BLAKE2b,865.5473560827431
pattern_5KB.bin,5120,MD5,6.2439024390243905
pattern_5KB.bin,5120,SHA-1,128.0
pattern_5KB.bin,5120,SHA-256,252.8395061728395
