File Size (bytes),Algorithm,Encryption Time (s),Decryption Time (s)
1024,3DES,0.00012826919555664062,9.202957153320312e-05
1024,AES (128-bit),0.0007862250010172526,5.8015187581380206e-06
1024,Camellia (128-bit),4.307428995768229e-05,2.8292338053385418e-05
1024,ChaCha20,2.2172927856445312e-05,8.742014567057291e-07
2048,3DES,0.00022037823994954428,0.0001819133758544922
2048,AES (128-bit),0.0005865891774495443,4.291534423828125e-06
2048,Camellia (128-bit),6.961822509765625e-05,5.507469177246094e-05
2048,ChaCha20,2.09808349609375e-05,2.0662943522135415e-06
5120,3DES,0.0004757245381673177,0.0004520416259765625
5120,AES (128-bit),0.0002522468566894531,6.7551930745442706e-06
5120,Camellia (128-bit),0.00014734268188476562,0.00013168652852376303
5120,ChaCha20,1.8358230590820312e-05,3.258387247721354e-06
10240,3DES,0.0009222825368245443,0.0009043216705322266
10240,AES (128-bit),0.00023055076599121094,1.2159347534179688e-05
10240,Camellia (128-bit),0.0002907117207845052,0.00027060508728027344
10240,ChaCha20,2.1696090698242188e-05,6.993611653645833e-06
20480,3DES,0.0018367767333984375,0.0018245379130045574
20480,AES (128-bit),0.0010666052500406902,2.3682912190755207e-05
20480,Camellia (128-bit),0.0005626678466796875,0.0005286534627278646
20480,ChaCha20,2.9246012369791668e-05,1.3987223307291666e-05
51200,3DES,0.004637559254964192,0.004642407099405925
51200,AES (128-bit),0.0014621416727701824,0.00015513102213541666
51200,Camellia (128-bit),0.0013227462768554688,0.0013763109842936199
51200,ChaCha20,6.397565205891927e-05,8.241335550944011e-05
102400,3DES,0.00936563809712728,0.009414990743001303
102400,AES (128-bit),0.0008862813313802084,0.00021338462829589844
102400,Camellia (128-bit),0.0027716954549153647,0.002813259760538737
102400,ChaCha20,0.00015465418497721353,0.00018103917439778647
1048576,3DES,0.09873501459757487,0.1022493839263916
1048576,AES (128-bit),0.005014896392822266,0.0071410338083903
1048576,Camellia (128-bit),0.030431509017944336,0.0334474245707194
1048576,ChaCha20,0.003312269846598307,0.006284554799397786
2097152,3DES,0.20334776242574057,0.22082694371541342
2097152,AES (128-bit),0.018839597702026367,0.032338619232177734
2097152,Camellia (128-bit),0.06924176216125488,0.0859542687733968
2097152,ChaCha20,0.01627771059672038,0.03192861874898275
5242880,3DES,0.6115170319875082,0.688277006149292
5242880,AES (128-bit),0.11449003219604492,0.22118536631266275
5242880,Camellia (128-bit),0.24260568618774414,0.3545769850413005
5242880,ChaCha20,0.10853799184163411,0.21833562850952148
10485760,3DES,1.2801632086435955,1.6164050102233887
10485760,AES (128-bit),0.6037576198577881,0.7370060284932455
10485760,Camellia (128-bit),0.6087392171223959,0.9648566246032715
10485760,ChaCha20,0.3513042132059733,0.6991803646087646
20971520,3DES,5.155519008636475,5.141833623250325
20971520,AES (128-bit),3.1488149166107178,3.3500540256500244
20971520,Camellia (128-bit),3.7344954013824463,3.8371129830678306
20971520,ChaCha20,3.211838642756144,3.2716870307922363
