File Size (bytes),Algorithm,Encryption Time (s),Decryption Time (s)
102400,AES (128-bit),0.0007276535034179688,0.00014829635620117188
102400,3DES,0.009285926818847656,0.00933980941772461
102400,ChaCha20,0.00012493133544921875,0.00010704994201660156
102400,Camellia (128-bit),0.0027000904083251953,0.0028128623962402344
10240,AES (128-bit),0.00024580955505371094,1.1205673217773438e-05
10240,3DES,0.0009148120880126953,0.0009059906005859375
10240,ChaCha20,2.09808349609375e-05,6.9141387939453125e-06
10240,Camellia (128-bit),0.0002779960632324219,0.0002658367156982422
10485760,AES (128-bit),0.5513670444488525,0.728424072265625
10485760,3DES,1.266779899597168,1.6156790256500244
10485760,ChaCha20,0.37537193298339844,0.692425012588501
10485760,Camellia (128-bit),0.5984668731689453,0.9261789321899414
1024,AES (128-bit),0.0008707046508789062,1.3113021850585938e-05
1024,3DES,0.0001430511474609375,9.202957153320312e-05
1024,ChaCha20,2.4080276489257812e-05,9.5367431640625e-07
1024,Camellia (128-bit),4.410743713378906e-05,2.8133392333984375e-05
1048576,AES (128-bit),0.005045175552368164,0.007239818572998047
1048576,3DES,0.09739899635314941,0.10126113891601562
1048576,ChaCha20,0.0032110214233398438,0.006226778030395508
1048576,Camellia (128-bit),0.030278682708740234,0.03334522247314453
20480,AES (128-bit),0.0009839534759521484,2.4080276489257812e-05
20480,3DES,0.0018410682678222656,0.0018148422241210938
20480,ChaCha20,2.7894973754882812e-05,1.4066696166992188e-05
20480,Camellia (128-bit),0.0005688667297363281,0.000553131103515625
20971520,AES (128-bit),3.161285877227783,3.252701759338379
20971520,3DES,5.162818193435669,5.092907905578613
20971520,ChaCha20,3.1056158542633057,3.1988770961761475
20971520,Camellia (128-bit),3.6124072074890137,3.7662899494171143
2048,AES (128-bit),0.0011019706726074219,3.814697265625e-06
2048,3DES,0.00023818016052246094,0.0001819133758544922
2048,ChaCha20,2.09808349609375e-05,1.9073486328125e-06
2048,Camellia (128-bit),6.985664367675781e-05,5.507469177246094e-05
2097152,AES (128-bit),0.01852107048034668,0.031108856201171875
2097152,3DES,0.20331978797912598,0.22063708305358887
2097152,ChaCha20,0.015326976776123047,0.032521963119506836
2097152,Camellia (128-bit),0.06885790824890137,0.08509206771850586
51200,AES (128-bit),0.0014951229095458984,0.0001277923583984375
51200,3DES,0.004575967788696289,0.0046100616455078125
51200,ChaCha20,6.079673767089844e-05,4.6253204345703125e-05
51200,Camellia (128-bit),0.0013082027435302734,0.0013349056243896484
5120,AES (128-bit),0.00022292137145996094,6.198883056640625e-06
5120,3DES,0.0004680156707763672,0.0004520416259765625
5120,ChaCha20,1.9073486328125e-05,3.814697265625e-06
