Encryption Time (s),Decryption Time (s),Encryption Avg CPU (%),Decryption Avg CPU (%),Encryption Peak Memory (MB),Decryption Peak Memory (MB),File Size (bytes),Algorithm
0.0001850128173828125,0.00012421607971191406,47.25,99.6,159.59375,159.59375,102400,AES (128-bit)
0.009148120880126953,0.009123086929321289,50.0,99.85,159.65625,159.65625,102400,3DES
7.82012939453125e-05,7.200241088867188e-05,49.45,100.2,159.671875,159.78125,102400,ChaCha20
0.0027132034301757812,0.0026750564575195312,49.95,100.0,159.796875,159.90625,102400,Camellia (128-bit)
2.288818359375e-05,1.811981201171875e-05,0.0,96.5,159.921875,159.9375,10240,AES (128-bit)
0.0009300708770751953,0.0009410381317138672,0.0,100.0,159.9375,159.9375,10240,3DES
1.3828277587890625e-05,1.3113021850585938e-05,0.0,98.5,159.9375,159.9375,10240,ChaCha20
0.0003180503845214844,0.00031113624572753906,0.0,98.7,159.9375,159.953125,10240,Camellia (128-bit)
0.15170693397521973,0.06156802177429199,88.88312499999999,99.918125,430.53125,440.5625,10485760,AES (128-bit)
1.1742539405822754,1.122107982635498,96.291875,98.25125,413.328125,383.5,10485760,3DES
0.05572104454040527,0.05734086036682129,99.17937500000001,99.38624999999999,360.359375,360.375,10485760,ChaCha20
0.31409716606140137,0.3252410888671875,99.35499999999999,99.549375,360.421875,378.125,10485760,Camellia (128-bit)
1.4066696166992188e-05,8.106231689453125e-06,0.0,95.0,378.140625,378.140625,1024,AES (128-bit)
9.799003601074219e-05,9.393692016601562e-05,0.0,99.5,378.171875,378.171875,1024,3DES
7.867813110351562e-06,7.867813110351562e-06,0.0,98.6,378.203125,378.203125,1024,ChaCha20
3.409385681152344e-05,3.314018249511719e-05,0.0,99.9,378.203125,378.203125,1024,Camellia (128-bit)
0.001827239990234375,0.0012640953063964844,93.6875,99.96875,378.21875,378.21875,1048576,AES (128-bit)
0.09267807006835938,0.09336709976196289,93.75,100.0,378.21875,378.21875,1048576,3DES
0.0009398460388183594,0.0009481906890869141,93.6625,99.99375,378.21875,378.21875,1048576,ChaCha20
0.026556968688964844,0.026980876922607422,93.75,100.0,378.21875,378.21875,1048576,Camellia (128-bit)
8.082389831542969e-05,2.7179718017578125e-05,0.0,97.2,378.296875,378.328125,20480,AES (128-bit)
0.0017631053924560547,0.001760721206665039,0.0,100.0,378.328125,378.34375,20480,3DES
1.52587890625e-05,1.4781951904296875e-05,0.0,101.0,378.34375,378.34375,20480,ChaCha20
0.0005102157592773438,0.0005068778991699219,0.0,99.9,378.34375,378.34375,20480,Camellia (128-bit)
0.4522697925567627,0.42468810081481934,97.885,99.6915625,529.609375,560.734375,20971520,AES (128-bit)
2.3433499336242676,2.3804092407226562,98.4578125,98.48625,585.578125,607.203125,20971520,3DES
0.5498802661895752,0.44644618034362793,96.325625,99.0109375,588.703125,608.84375,20971520,ChaCha20
0.9969429969787598,1.065824031829834,98.531875,97.5440625,587.984375,597.0,20971520,Camellia (128-bit)
2.193450927734375e-05,1.0967254638671875e-05,0.0,96.4,537.265625,537.265625,2048,AES (128-bit)
0.00018787384033203125,0.00018405914306640625,0.0,100.0,537.265625,537.265625,2048,3DES
1.0967254638671875e-05,9.059906005859375e-06,0.0,107.0,537.265625,537.265625,2048,ChaCha20
6.29425048828125e-05,5.91278076171875e-05,0.0,99.1,537.265625,537.265625,2048,Camellia (128-bit)
0.005670070648193359,0.004014015197753906,94.390625,99.984375,537.28125,537.90625,2097152,AES (128-bit)
0.1891040802001953,0.19068527221679688,96.69375,99.7625,537.96875,537.96875,2097152,3DES
0.00337982177734375,0.003571033477783203,96.84375,98.221875,538.296875,538.296875,2097152,ChaCha20
0.0558929443359375,0.05645418167114258,96.171875,99.65,538.3125,538.328125,2097152,Camellia (128-bit)
0.0001251697540283203,6.318092346191406e-05,0.0,100.0,538.34375,538.34375,51200,AES (128-bit)
0.004409074783325195,0.00448298454284668,0.0,100.0,538.34375,538.34375,51200,3DES
2.9325485229492188e-05,2.8133392333984375e-05,0.0,99.4,538.34375,538.34375,51200,ChaCha20
0.0014421939849853516,0.0013799667358398438,0.0,100.0,538.34375,538.34375,51200,Camellia (128-bit)
2.6941299438476562e-05,1.0967254638671875e-05,0.0,97.4,538.34375,538.34375,5120,AES (128-bit)
0.00045800209045410156,0.00045680999755859375,0.0,99.9,538.34375,538.34375,5120,3DES
9.059906005859375e-06,9.059906005859375e-06,0.0,103.8,538.34375,538.34375,5120,ChaCha20
0.00014090538024902344,0.00014090538024902344,0.0,99.6,538.34375,538.34375,5120,Camellia (128-bit)
0.02193593978881836,0.020143985748291016,97.56125,99.34125,540.171875,549.171875,5242880,AES (128-bit)
0.4998900890350342,0.4942159652709961,97.41499999999999,99.34125,550.609375,550.609375,5242880,3DES
0.01634693145751953,0.017262935638427734,98.62625,99.8775,551.0,551.0,5242880,ChaCha20
0.1501321792602539,0.15304183959960938,98.23125,99.45125,551.515625,552.15625,5242880,Camellia (128-bit)
0.00023698806762695312,9.608268737792969e-05,49.25,99.0,552.265625,552.265625,102400,AES (128-bit)
0.00950002670288086,0.009776830673217773,50.0,99.25,552.390625,552.390625,102400,3DES
7.82012939453125e-05,6.604194641113281e-05,48.15,101.6,552.390625,552.390625,102400,ChaCha20
