File Size (bytes),Algorithm,Entropy
1024,3DES,7.808268776718118
1024,AES (128-bit),7.80310450297393
1024,Camellia (128-bit),7.805390670940018
1024,ChaCha20,7.815542476150046
2048,3DES,7.908587697957419
2048,AES (128-bit),7.9037914266466425
2048,Camellia (128-bit),7.908847428342555
2048,ChaCha20,7.908999658783583
5120,3DES,7.966840491920728
5120,AES (128-bit),7.9624257800127864
5120,Camellia (128-bit),7.96197341552831
5120,ChaCha20,7.963360001596676
10240,3DES,7.982768758628367
10240,AES (128-bit),7.9827950883668075
10240,Camellia (128-bit),7.982245206516972
10240,ChaCha20,7.982666920454061
20480,3DES,7.990961688467432
20480,AES (128-bit),7.99140235260703
20480,Camellia (128-bit),7.991008953362119
20480,ChaCha20,7.992161489853159
51200,3DES,7.996273569023941
51200,AES (128-bit),7.996409532765784
51200,Camellia (128-bit),7.9965828998138155
51200,ChaCha20,7.996606962565479
102400,3DES,7.9981271216098335
102400,AES (128-bit),7.998381065059452
102400,Camellia (128-bit),7.998225374794614
102400,ChaCha20,7.9982933459981735
1048576,3DES,7.9998176155911915
1048576,AES (128-bit),7.999827517588447
1048576,Camellia (128-bit),7.999828397197914
1048576,ChaCha20,7.999836277461529
2097152,3DES,7.9999151548914975
2097152,AES (128-bit),7.999910495392753
2097152,Camellia (128-bit),7.999909463062093
2097152,ChaCha20,7.999917455016123
5242880,3DES,7.999966293685168
5242880,AES (128-bit),7.999962777699005
5242880,Camellia (128-bit),7.999966129112809
5242880,ChaCha20,7.999967355251261
10485760,3DES,7.999981733185752
10485760,AES (128-bit),7.999982457880961
10485760,Camellia (128-bit),7.999983423299876
10485760,ChaCha20,7.999982144583986
20971520,3DES,7.999991554860215
20971520,AES (128-bit),7.99999123657778
20971520,Camellia (128-bit),7.999991323636941
20971520,ChaCha20,7.999991444324816
