File Size (bytes),Algorithm,Initialization Time (µs),Block Processing Time (µs),Key Scheduling Time (µs),File Processing Time (s)
102400,AES (128-bit),6629.705429077148,33.14018249511719,4.291534423828125,0.0005056858062744141
102400,3DES,7.8678131103515625,22.88818359375,3.0994415283203125,0.00929117202758789
102400,ChaCha20,13.113021850585938,,,
102400,Camellia (128-bit),8.821487426757812,10.013580322265625,18.358230590820312,0.0033249855041503906
10240,AES (128-bit),10.967254638671875,1.1920928955078125,0.95367431640625,0.0002090930938720703
10240,3DES,5.0067901611328125,4.0531158447265625,2.1457672119140625,0.0013260841369628906
10240,ChaCha20,19.073486328125,,,
10240,Camellia (128-bit),7.8678131103515625,2.1457672119140625,2.1457672119140625,0.00035309791564941406
10485760,AES (128-bit),14.066696166992188,2.1457672119140625,2.1457672119140625,0.011929750442504883
10485760,3DES,12.874603271484375,4.291534423828125,1.9073486328125,0.9298069477081299
10485760,ChaCha20,31.948089599609375,,,
10485760,Camellia (128-bit),10.967254638671875,3.0994415283203125,2.1457672119140625,0.2596309185028076
1024,AES (128-bit),29.802322387695312,1.1920928955078125,3.0994415283203125,0.0009109973907470703
1024,3DES,10.967254638671875,5.9604644775390625,2.1457672119140625,0.00012302398681640625
1024,ChaCha20,10.728836059570312,,,
1024,Camellia (128-bit),7.8678131103515625,2.1457672119140625,2.1457672119140625,6.198883056640625e-05
1048576,AES (128-bit),6.9141387939453125,0.95367431640625,2.1457672119140625,0.002151012420654297
1048576,3DES,4.0531158447265625,3.0994415283203125,2.1457672119140625,0.09074783325195312
1048576,ChaCha20,21.93450927734375,,,
1048576,Camellia (128-bit),8.821487426757812,3.0994415283203125,2.1457672119140625,0.026192188262939453
20480,AES (128-bit),15.020370483398438,0.95367431640625,0.95367431640625,0.0008859634399414062
20480,3DES,7.8678131103515625,2.86102294921875,2.1457672119140625,0.0018019676208496094
20480,ChaCha20,9.059906005859375,,,
20480,Camellia (128-bit),5.245208740234375,1.9073486328125,1.9073486328125,0.0005440711975097656
20971520,AES (128-bit),5.245208740234375,0.95367431640625,0.7152557373046875,0.02221393585205078
20971520,3DES,17.881393432617188,4.0531158447265625,1.9073486328125,1.8139560222625732
